user,assistant
Waiting for my test back from my math teacher. I think I scored well.,I'm nervous about this test I did.
I had to move far away from my aunt and i miss her a lot.,I really miss my aunt. I am a bit of a loner and she was the one i always talked to. I had to move far away from her recently.
I want to adopt a new cat_comma_ but I already have three dogs. I'd love to have a cat_comma_ but I'm not sure if my current dogs will take well.,I've been considering adopting a cat_comma_ but I already have three dogs and I'm a bit afraid they won't take a liking to a new animal_comma_ much less a cat.
My college entrance exam is tomorrow.,My college entrance exam is tomorrow and I can't stop thinking I will fail.
I was thinking about going camping_comma_ but I'm worried about the weather ruining it.,I was thinking about going camping_comma_ but I'm worried about the weather ruining it.
I took credit for some work that wasn't mine.  My coworker has not found out yet.,I took credit for some work that wasn't mine. My coworker has not found out yet.
to get hired at a new job,I really really really hope i get this job
One time when i was younger i saw a spooky face in my room. i never knew what it was after that night i am still kind of scared even today.,So when i was a kid i had this creepy face look at me in my room at night.
My cousin moved to another state. I miss her so much,MY cousin has moved away.
I was worried when my dad was in the hospital. It just made me nervous,I was scared when my dad was in the hospital. It just made me worry
I trust my wife with my life,I trust my wife with my life
i stole from the store as a child,I wont forget the one time I stole from a store when I was a child.
i feel like my life is coming together finally or else i am learning how to cope with the stress,I finally feel like everything is coming together for me_comma_ either that or I have just learned how to control my stress.
My roommate promised he'd clean up his half of the apartment while I was away on vacation. I come back to the same old_comma_ same old. Dirty_comma_ smelly_comma_ and uninhabitable. Wish I didn't have to be stuck with him for another year.,"My roommate promised he'd clean up his half of the apartment while I was away on vacation. I come back to the same old_comma_ same old. Dirty_comma_ smelly_comma_ and uninhabitable. Wish I didn't have to be stuck with him for another year.,3|4|4_5|5|5,
hit:11677_conv:23355,2,disappointed,My roommate promised he'd clean up his half of the apartment while I was away on vacation. I come back to the same old_comma_ same old. Dirty_comma_ smelly_comma_ and uninhabitable. Wish I didn't have to be stuck with him for another year.,123,I feel for you! Bad roommates are the worst,3|4|4_5|5|5,
hit:11677_conv:23355,3,disappointed,My roommate promised he'd clean up his half of the apartment while I was away on vacation. I come back to the same old_comma_ same old. Dirty_comma_ smelly_comma_ and uninhabitable. Wish I didn't have to be stuck with him for another year.,273,Yeah_comma_ there's nothing I can do. Can't afford to get out of the lease. And he's 25_comma_ so at this point_comma_ that's just the type of person he is. I was kind of in a desperate situation when I chose to be roommates with him. Wish I could have had more time to find a better one before school started.,3|4|4_5|5|5,
hit:11677_conv:23355,4,disappointed,My roommate promised he'd clean up his half of the apartment while I was away on vacation. I come back to the same old_comma_ same old. Dirty_comma_ smelly_comma_ and uninhabitable. Wish I didn't have to be stuck with him for another year.,123,You are right being that age he will probably never change,3|4|4_5|5|5,
hit:11678_conv:23356,1,lonely,I have no friends in my college. ,59,I just started my freshman year in college and have no friends."
One time i saw a puppy get dropped off at the side of the road. I picked him up and took him home. He's 13 now and a happy pup.,Saw a guy drop off a puppy on the side of the road once. Was a cute little lab puppy.
I got really mad when I failed a final in college. I just did not try hard enough,I got really mad when I failed a finals test. I knew I could do better
I left my phone on the bus last night as I was coming home_comma_ I am still very upset_comma_,I left my phone on the bus last night as I was coming home_comma_ I am still very upset.
In elementary school_comma_ I forgot to do an assignment once. Instead of telling the teacher this I stole my friend's French assignment and erased his name and handed it in as my own.,In elementary school_comma_ I forgot to do an assignment once. Instead of telling the teacher this I stole my friend's French assignment and erased his name and handed it in as my own. I felt terrible about it.
everytime i am trying something knew i get that paralyzing fear of the unknown feeling.,i do that but the before getting there jitters is enough to drive anyone nuts.
My grandmother died and i feel absolutely horrible.,I had yet another death in my family. This year has been the worst.
My wife and I have been married for 10 years,I love my wife!!
my uncle died last year,my uncle died last year
My cat was sick for a couple days when i first got them,My cat was sick for a couple days when i first got them
I love my cat. he is so sweet.,I love my cat so much. he is the best. :0
My PS4 just arrived in the mail.,My PS4 just arrived in the mail with a new game!
I was going on a weekend to the lake but ended up getting sick.,I was going on a weekend to the lake but ended up getting sick.
I just got home from a vacation and feel super relaxed.,I just got home from traveling and it feels so nice.
I'm torn up_comma_ my dog had to be put down today because of old age. Ruined my day.,I'm torn up_comma_ my dog had to be put down today because of old age
I always make plans to go out with y friends when my kids are gone. I just lay around though.,I always make plans to go out with my friends but end up staying home.
I was scared my first day of high school. I was not sure how it was going to go,I was scared my first day of high school. I was nervous how it would go
My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.,My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.
I'm sad that game of thrones is ending. Great shows should last forever like the simpsons.,Do you watch game of thrones?
I found my grandfathers old watch he passed along to me years ago. It finally fits me and I think I will start wearing it for luck.,I found my grandfathers old watch he passed along to me years ago. It finally fits me and I think I will start wearing it for luck.
I spilled my coffee all over the store when i was shopping.,I felt so bad the other day. i spilled coffee on the ground in fron of everyone at the store.
My coworkers threw me a welcome-back party without telling me.,My coworkers threw me a welcome-back party when I returned from maternity leave.
Every fall my family and I used to go apple picking when I was younger.  Those were good times.,Every fall my family and I used to go apple picking when I was younger. Those were good times.
I have been in vacation in Mexico for one week now. I am buying gifts for my family before coming back.,I have been in vacation in Mexico for one week now. I am buying gifts for my family before coming back.
After a long week at work_comma_ it is so nice to just be relaxing at home tonight.,Well its been a long week of work for me_comma_ no vacation like you.  However_comma_ it is so very nice just to be relaxing at home this evening.
I broke my laptop screen.,I broke my laptop screen yesterday and now I am out a hundred bucks to get it fixed!
I caan't wait to go to a concert i just bought tickets for.,I just bought tickets to my favorite band! I am so stoked!
My wife and I have been married 10 years.  I have faith in her that she's loyal.,I love my wife so much!
I am feeling this way with my life now_comma_ I am so thankful for everything.,I am so thankful for everything in my life.
My son has been playing tee ball just like when I used to play.  Those were great times for me.,My son has been playing tee ball just like when I used to play. Those were great times for me.
My son is turning two in a few months and I have been feeling this way.,My son will be turning two in a few months and it has me looking back to when he was born.
My brother bought my dream car.,My brother just bought my all time favorite car.
I have a feeling I'm going to be getting a new car soon.,I have a feeling I'm going to be getting a new car soon.
when my dog had puppies,my dog had puppies
I am feeling this way because my son is turning 2 soon.,My son will be turning two in a few months.
I have my annual evaluation next week.  I really hope I get a raise.,I have my annual evaluation next week.  I hope I get a raise_comma_ fingers crossed.
I got a bad mark back on my math test. I had studied hard.,So disappointed in myself for getting a low mark.
I am on the fence about pursuing a promotion opportunity at my work.  I am nervous that I may not interview well.,I am on the fence about pursuing a promotion opportunity at my work. I am nervous that I may not interview well.
I am positive about my next vacation.,I am so happy about my next vacation.
I failed my final exam for math last semester. I all set to graduate but now I have to repeat it. Its horrible.,I failed my final exam for math last semester. I all set to graduate but now I have to repeat it. Its horrible.
I saw a documentary on people on death row. It is disturbing some of the sick things people do.,I was watching a documentary on death row_comma_ and its disturbing some of the crimes people commit
I'm so embarrassed_comma_ I had to ditch my date to use the bathroom.  I told her I was sick!,I'm so embarrassed_comma_ I had to ditch my date to use the bathroom. I told her I was sick!
I'm pretty satisfied with all the house work I got done today.  Yard is mowed and the house is clean!,I'm pretty satisfied with all the house work I got done today. Yard is mowed and the house is clean!
My dog got sick last night but I didn't hear it.  I only realized it after I stepped in her throw up when I got to the top of the stairs this morning.  I almost threw up myself!,My dog got sick last night but I didn't hear it while it was happening.
We're going to the amusement park and roller coaster riding tomorrow,I'm not sure if I want to go tomorrow
The other day I went to make a purchase for some new flea & tick medication for my dogs.  We I arrived home_comma_ I realized that the employee had given me a larger supply of medicine than what I had actually ordered and paid.  By the time I had returned home_comma_ the store had closed.  I had to wait until the next morning to correct the matter_comma_ but I did go back to make the matter right.  It is important to me to be honest and trustworthy.  Not only this_comma_ but my son saw this display; and_comma_ thereby_comma_ I am teaching him to be both honest and trustworthy too.,So_comma_ the other day I had a test of my character.
I had to wait all day to pick my dog up from the vet_comma_ even though we had an appointment.,My dog had to go to the vet and it took all day. We even had an appointment.
I'm giving a presentation at work that is going to ensure I get a promotion.  I know I'll get it.,I'm giving a presentation at work that is going to ensure I get a promotion. I know I'll get it.
I can't wait til Red Dead Redemption 2 comes out!  The first one was my favorite video game of all time!,I can't wait til Red Dead Redemption 2 comes out! The first one was my favorite video game of all time!
I lost 10 pounds and feel great!,I was able to workout enough to lose 10 lbs!
My wife got the flu yesterday. I ended up staying home to make sure she was ok.,My wife got the flu yesterday. I ended up staying home to make sure she was ok.
My dog got sick all over the floor. The smell was foul.,Just got back from downstairs_comma_ what a gross scene.
I let my brother take care of my dog when I went on vacation.,I let my brother take care of my dog when I went on vacation. He is the only person who I would let take care of my dog.
I'm starting a new weight lifting training cycle and I'm confident I will make great progress!,I have a new weight lifting cycle coming up. I think I'll make great progress during it!
I was sad to see Lebron go to the Lakers,I was sad to see Lebron go to the Lakers
I was so excited when I got my brand new motorcycle a week ago_comma_ but yesterday I crashed and totaled it.,I was so happy when I was finally able to buy a motorcycle last week that I've been saving money for. But yesterday I wasn't being careful and I crashed it into my neighbors car and completely destroyed both.
I drank despite promising sobriety to my wife.,I drank and got drunk out of my mind yesterday despite promising sobriety to my wife.
I'm having heart palpitations all the time and they are very concerning to me.,I'm having heart palpitations all the time and they are very concerning to me.
I forgot to tip my bar waitress when I was drunk,Man I feel so dirty and bad
I have the car packed_comma_ the food packed in a cooler_comma_ and the car inspected and filled with fuel.  Ready for vacation!,I have the car packed_comma_ the food packed in a cooler_comma_ and the car inspected and filled with fuel. Ready for vacation!
The amount of crazy people in the world is scary.,The amount of crazy and bad people in the world is scary
I set the alarm to the house every night before bed.  Around 3:00am this morning_comma_ the alarm went off.  Thankfully_comma_ the contact had just fallen off of the window to make it go off_comma_ but it scared me so bad!,I set the burglar alarm to the house every night before bed. Around 3:00am this morning_comma_ the alarm went off
I've put in alot of work to get a huge job. i will know something shortly,I'm hoping that i get an enormous job that i bid on.
I studied for two years to become a police man.,I am ready for my police test coming up!
Someone smashed into my car and left.  People are horrible!,Someone smashed into my car and left. People are horrible!
My life is going pretty good right now. I have a great job and a wonderful girlfriend.,My life is going pretty good right now. I have a great job and a wonderful girlfriend.
A homeless man asked me to roll down my window in my car.,One day a homeless man came up to my car and asked me to roll down my window.
I came home from a business trip and found food rotting in the fridge with mold growing on everything and fruit flies swarming around. bleh.,I came home from a business trip and found food rotting in the fridge with mold growing on everything and fruit flies swarming around. bleh.
I crapped my pants at wallmart once. I couldn't find the bathroom and well you know...,I crapped my pants at wallmart once. I couldn't find the bathroom and well you know...
My husband is going on a trip and I will feel this way.,My husband is going on a trip for a weekend.
I tried following a recipe for vegan cookies and they turned out horribly.,I tried following a recipe for vegan cookies and they turned out horribly.
Last week I was not feeling well at all. I was so tired when I Went back to work_comma_ that I forgot to change out of my pajamas before I went in.,Last week I was not feeling well at all. I missed a couple days of work and was so tired by the time I went back in.
I was excited my first day of college. I was excited about my next step in life,I was excited my first day of college. I was excited to start my next chapter
I am so annoyed at president Trump.,President Trump annoys the hell out of me.
I just watched an old cartoon and reminded me how much i used watch it.,I just saw an old tv show on tv and it reminded me of the old days
I love my mom so much.  She has taken care of us kids really good!,I love my mom so much
I'm confident I'm going to hit my new bench press max tomorrow at the gym! I've been working out hard lately!,I'm confident I'm going to hit my new bench press max tomorrow at the gym!
I have been excited to sell this stuff around my house i never use. I'm making pretty good money!,I have been excited to sell this stuff around my house i never use. I'm making pretty good money!
My son just took his first steps to start walking.,My son just started to take his first steps.
My flight got cancelled and I missed my son's birthday.,My flight got cancelled and I missed my son's birthday.
I feel great about the future of my brother.,My brother is going to do great things!
I had to babysit my new born nephew.,Last week I had to babysit my new born nephew whilst my sister went on vacation!
We became zoo members for the first time.,My family and I became zoo members this week.
I found a hair in my food while eating at a restaurant with my boyfriend,I found a hair in my food while eating at a restaurant with my boyfriend
I remember going to the beach every year when I was young. Wish I could do that again.,I remember going to the beach every year when I was young. Wish I could do that again.
I don't want to throw away my son's old trophies.,My son just left for college and I don't want to throw away his old comic books and trophies.
I ate the last of my roommate's ice cream while drunk.,I ate the last of my roomie's ice cream.
Someone rear ended me and wrecked my car.,Someone wrecked my car the other day. I'm so mad.
I'm pretty happy with the way things are going at this time,You ever just have a good week where nothing bad happens?
Got everything packed and ready for my camping trip this weekend.  Should be a great time.,Got everything packed and ready for my camping trip this weekend. Should be a great time.
I am incredibly lucky to have a stranger return my new phone when I lost it on the bus.,I am incredibly lucky to have a stranger return my new phone when I lost it on the bus.
Once my wife went with her family to the beach and left me at home by myself.,I hate being alone_comma_ but my wife and kids have gone on vacation with her family this summer.
My trash can is super gross. I almost puked opening it up.,I need to clean my trash can.
I'm furious_comma_ my cell phone bill this month is 200 dollars more than last months.  For no reason!,I'm furious_comma_ my cell phone bill this month is 200 dollars more than last months.
I was holding my brother's newborn earlier today... I held them up a little bit_comma_ with them facing down at me_comma_ and they puked all over me. Pretty cool. Can't get the smell of baby vomit out of my nose.,I was holding my brother's newborn earlier today... I held them up a little bit_comma_ with them facing down at me_comma_ and they puked all over me. Pretty cool. Can't get the smell of baby vomit out of my nose.
My husband threw a graduation party for me and I felt this way.,My husband put together a graduation party for me and I had idea!
My ex girlfriend was flirting with these guys right in front of me. She loves the attention.,My ex girlfriend was flirting with these guys right in front of me. She loves the attention.
Went on the very first job interview after graduating. I was nervous_comma_ but I felt like it went fairly well. They said they would contact me soon_comma_ but it's been a week. I'm not sure what I should do at this point_comma_ but I'm staying positive.,Went on the very first job interview after graduating. I was nervous_comma_ but I felt like it went fairly well. They said they would contact me soon_comma_ but it's been a week. I'm not sure what I should do at this point_comma_ but I'm staying positive.
I was recently looking through my large family photo book and remembering the birth and childhood of each of my 4 children.  It brought tears to my eyes as the last one just recently moved out on his own.,My baby boy just moved out to be on his own this last weekend.
My mom made a large meal of my favorite dish.,Ahh_comma_ the joys of visiting home. My mom fixed me 3 course meal of my most favorite dishes!
i have been cheating on my spouse,i have done a very bad thing and feel terrible about it
I ate my wife's leftovers while she was taking a nap.,i ate my wife's leftovers while she was taking a nap
Our home was broken into right after we moved in and I felt this way.,Our home was broken into right after we moved in. I was so mad!
I'm signed up to go sky diving for the first time this weekend_comma_ but I am nervous.,I'm signed up to go sky diving soon for the first time.
I remember when movies actually focused more on the plot and acting rather than the special effects. I miss those times.,I remember when movies actually focused more on the plot and acting rather than the special effects. I miss those times.
One time I was on a diet and I ate a whole bag of Hershey's Kisses. They were delicious_comma_ but I shouldn't have done it.,I'm supposed to be on a diet_comma_ but today I ate a bunch of Hershey's Kisses.
I am going to my favorite restaurant tomorrow i am so excited.,I am going to my favorite restaurant tomorrow i cant wait
I got a birthday card from an uncle that I haven't heard from in years,Something nice happened to me yesterday
I remember when I was in 8th grade_comma_ I had to sing the national anthem at my middle school graduation in front of hundreds of students and parents,I remember when I was in 8th grade_comma_ I had to sing the national anthem at my middle school graduation in front of hundreds of students and parents
I forgot my lines in the live drama.,So yea_comma_ last night my brain decided to replay a moment from high school when I forgot my lines in the live drama.
I didnt realize that chocolate milk did not come from brown cows until I was 14.,One day after work_comma_ I was sitting at a table with one of my coworkers and my boss. I was 14 at the time and we worked in a bakery. I said something about brown cows and chocolate milk. That was when i realized that chocolate milk didnt come from brown cows.
i feel lost without my dog!,i feel lost without my dog!
I felt bad when my mom got sick. I had to take care of her,I felt real bad when my mom got sick bad. I had to take care of her
ordering something from a sketchy website,i was going to order some tshirts online_comma_but the website is from the ukrane and seems pretty sketchy
My boyfriend thought it would be funny to stand behind my door and scare me. I shrieked.,My boyfriend thought it would be funny to stand behind my door and scare me. I shrieked.
Going on vacation to florida soon.  Can't wait.,Man.  Only a couple weeks to go!!!
My cat dragged a freakin OWL into the house through the dog door the other night. I came home at midnight to a pitch black house_comma_ went up the stairs_comma_ and something flew over my darn head. Turned the light on and he was staring back at me...,My cat dragged a freakin OWL into the house through the dog door the other night. I came home at midnight to a pitch black house_comma_ went up the stairs_comma_ and something flew over my darn head. Turned the light on and he was staring back at me...
Its been cloudy all day and I think it will heavily soon.,Its been cloudy all day and I think it will rain heavily pretty soon!
I got lost in an unfamiliar part of town and I had to rely on someone else to help.,I got lost in an unfamiliar part of town.
My friend just bought a car that I have been trying to afford for months!,My friend just bought a car that I have been trying to afford for months!
I am really excited for the new super smash bros_comma_ it looks awesome so far!,I am really excited for the new super smash bros_comma_ it looks awesome so far!
I know my wife with be there for me_comma_ good or bad.,I know my wife will be there for me_comma_ good or bad.
I'm in high spirits with my new job_comma_ I have a feeling I'm going to love working there.  Tomorrow is my 2nd day.,I'm in high spirits with my new job_comma_ I have a feeling I'm going to love working there.
A big meteor landed in my neighbors yard and not mine,My neighbor is so luck
A stranger complimented my new hairstyle.,I wasn't too sure I got the right hairstyle but today a stranger complimented me on my hair!
watching old tv shows,watching old black and white western tv shows really brings back good memories of my grandparents
My ex and I went to Branson a few weeks ago. It was so much fun!,My ex and I went to Branson a few weeks ago. It was so much fun!
I have a dentist appointment next week and I don't want to go. My tooth hurts really bad.,My tooth has been killing me lately.
I get sentimental about my girlfriend_comma_ she means a lot to me,I get sentimental about my girlfriend_comma_ she means a lot to me
My girlfriend of 3 years broke up with me the day of going to college. I couldn't focus that day and i felt depressed.,So my first day of college my girlfriend decided to break up with me. This is after 3 years of dating.
I spent this entire summer thinking I was going to lose weight_comma_ that I was going to be good on my diet and workout. I did neither. I stayed inside_comma_ played video games_comma_ ate horribly_comma_ and got grumpy ate everybody who reminded me of my promise. Now winter is coming and it's going to be even harder to motivate myself.,I spent this entire summer thinking I was going to lose weight_comma_ that I was going to be good on my diet and workout. I did neither. I stayed inside_comma_ played video games_comma_ ate horribly_comma_ and got grumpy ate everybody who reminded me of my promise. Now winter is coming and it's going to be even harder to motivate myself.
My friend just bought a new Range Rover. I am so envious of him.,My friend just bought a new Range Rover.
grandermother passing,my grandmother passed yestserday. she was the one who raised me
I'm very disappointed in the pizza I ordered.  It was pretty much burnt with no toppings!,I'm very disappointed in the pizza I ordered. It was pretty much burnt with no toppings!
Every time I watch baseball_comma_ I think of my grandpa.,Every time I watch baseball_comma_ I think of my grandpa.
I have to build an IKEA dresser tomorrow.  I am sure I can do it.,I have to build an IKEA dresser tomorrow.
I bought all the ingredients from the store and now its time to make a pizza.,I bought all the ingredients_comma_ learned the recipe_comma_ and now its time to make a pizza!
I came home to a huge pile of dog poop_comma_ it was absolutely disgusting.,I came home to a huge pile of dog poop_comma_ it was absolutely disgusting.
I'm worried about my job interview tomorrow_comma_ I really want this job.  I hate this feeling!,I'm worried about my job interview tomorrow_comma_ I really want this job. I hate this feeling!
The paper boy broke my window.,So the new paper boy tried to toss the paper over the fence and ended up breaking my window.
My old dog and cat keep fighting,My dog and cat can't seem to get along.
I was so sad when my pet hamster died recently. We were best friends and I miss him so much. I cry every day and think about all the good times we had together.,I was so sad when my hamster died recently due to a heart attack. Maybe I shouldn't have fed him so many cheetos. I cry every day thinking about him.
I'm terrified of meeting my girlfriend's parents tomorrow.  She said they never like her choice of boyfriends!,I'm terrified of meeting my girlfriend's parents tomorrow. She said they never like her choice of boyfriends!
Just before driving for the first time. I wasn't sure how to streer the car.,Driving is such a scary thing for me_comma_ it was my first time.
I heard a storm was coming and I got really scared!,I heard a storm was coming and I got really scared!
I have to make a brisket tomorrow.  I am so ready to do it.,I have to make a brisket tomorrow.
I went through an old photo album.,I went through an old photo album that I didn't even know existed when I was cleaning out my attic!
allowing my neighbor to babysit my twins,its so hard to find a reliable person to babysit nowadays
I lost my credit card and someone charged 500 dollars on it.  I am so angry about it.,I lost my credit card and someone charged 500 dollars on it.
Entering a haunted house for a halloween tour. There was chainsaws everywhere.,Halloween is scary stuff that's for sure.
Crashing my dirtbike on a gravel road and having to get a drive home with the police. They were kind.,The policeman was nice bringing me home.
I recently gave my best friend a key to my house. We have known each other our whole life and I am confident he won't betray me. So happy to have such a good friend.,I just gave my best friend a key to my house. I have known him my whole life and I feel safe with him having access to my home.
I hesitated before getting on the rollercoaster.,I hesitated before getting on the rollercoaster because it looked so scary!
i tripped at dinner,tonight i tripped while out at dinner_comma_ total clums
I found my old high school year book recently. Was such a trip down memory lane.,I recently came across my old high school year book.
I already booked my flight before requesting a holiday.,I already booked my flight for vacation before requesting a leave from work!
I remember when people used to be more courteous. Those were the good old days.,I remember when people used to be more courteous.
I am worried about a flight coming up.,I have a flight coming up and i absolutely hate flying.
I didn't confess all my sins at church. I ended up holding back.,I accidentally didn't confess all my sins oops.
I was planning a vacation soon_comma_ but due to an emergency at work_comma_ all vacation time was cancelled.,I'm a bit let down by my workplace recently
I love my wife so much.  I would never cheat on her.,I love my wife so much!
I accidentally slammed the door on my dogs tail.,I accidentally hurt my dog pretty bad.
Going to a job interview soon and I think I got this!,I have a job interview coming up!
Can't complain about anything. I have a roof over me head_comma_ a great family_comma_ and a decent job. Life is great for me right now!,There is nothing I can complain about. I have a nice house_comma_ a great family and a decent job. Life is good.
I felt a lone one summer when my friends all went away. It just did not feel right,I felt alone one summer. All of my friends were away it seemed
I think I'm goin to be in school forever.,I have to pay out of pocket for school now. Its gonna take forever
When I found out my son decided to drop out of college.,Last month I found out my son decided to drop out of college without telling me.
My mom has taken on my brother's two children in the interim while he deals with social services_comma_ for getting in trouble with the law. She's in her 60s_comma_ and she's handling a 2-year-old and 7-year-old_comma_ while working full time. I'm proud of her.,My mom has taken on my brother's two children in the interim while he deals with social services_comma_ for getting in trouble with the law. She's in her 60s_comma_ and she's handling a 2-year-old and 7-year-old_comma_ while working full time. I'm proud of her.
I accidentally bounced a check today.  I am so upset I did that.,I accidentally bounced a check today.
I work as a self-employed transcriptionist. I told my client I'd have work done this week_comma_ but my university classes also started this week... and things kind of got away from me_comma_ and they won't be done. I'm worried he's going to just tell me he'll have someone else do them_comma_ and I'll lose his business.,I work as a self-employed transcriptionist. I told my client I'd have work done this week_comma_ but my university classes also started this week... and things kind of got away from me_comma_ and they won't be done. I'm worried he's going to just tell me he'll have someone else do them_comma_ and I'll lose his business.
I can't believe I actually went to work wearing my wife's dress the other day. I knew something was wrong when it felt like I was wrapped like a sausage. Luckily I had a spare suit in my office to change into.,It was so awkward when I realized I had worn my wife's dress to work the other day. My first clue something was wrong was when I felt I was wrapped like a stuffed sausage.
I felt good about my job interview_comma_ I think that I have a good chance to get the job,I felt good about my job interview_comma_ I think that I have a good chance to get the job
I won free tickets to a my favorite band!,I won tickets to my favorite show! Yahoo!
I'm back in my old college town for the first time since graduating. It's weird how many memories flood back from just physically being in a space. I'm seeing all the places I used to eat_comma_ my old apartment_comma_ my campus_comma_ and my friends here and there... makes me wish I could go back,I'm back in my old college town for the first time since graduating. It's weird how many memories flood back from just physically being in a space. I'm seeing all the places I used to eat_comma_ my old apartment_comma_ my campus_comma_ and my friends here and there... makes me wish I could go back
I saw a grown woman pick her nose and eat it earlier.  I was so grossed out.,I saw a grown woman pick her nose and eat it earlier.
The airplane smelled like it hadn't been cleaned for months.,I was traveling last month and the airplane smelled like it hadn't been cleaned for months.
I kept thinking I had left the front door unlocked whilst I was on vacation,I kept thinking I had left the front door unlocked whilst I was on vacation!
I can't wait for the next Avatar movie to come out. It seems like it was such a long time ago when the first movie came out. I can hardly stay patient any longer.,I am so looking forward to the next Avatar sequel. It seems like I have been waiting forever. I am growing impatient.
I am upset the Eagles lost yesterday_comma_ they lost to the worst team in the league_comma_ and got shutout,I am upset the Eagles lost yesterday_comma_ they lost to the worst team in the league_comma_ and got shutout
I woke up and saw someone staring at me in the middle of the night.,I woke up and saw someone staring at me in the middle of the night!
I have to go to court for a speeding ticket and i am worried and nervous over the whole ordeal.,I am worried about my upcoming court date. :(
I was.. at home alone.. doing some self-pleasuring_comma_ if you will... and my roommate almost walked in on me. I managed to jump into my closet while pulling up my pants before he could see me. So happy I didn't have to have that awkward conversation.,I was.. at home alone.. doing some self-pleasuring_comma_ if you will... and my roommate almost walked in on me. I managed to jump into my closet while pulling up my pants before he could see me. So happy I didn't have to have that awkward conversation
I love going back and playing Pokemon Emerald_comma_ that game was a massive part of my childhood,I love going back and playing Pokemon Emerald_comma_ that game was a massive part of my childhood
My husband is training a new female employee at work. He takes her to luch everyday and I don't like it.,My husband is training a new female employee at work.
My girlfriend said she was going to catch up with her ex boyfriend over coffee. I am sure that nothing shady will go on between them.,My girlfriend said she was going to catch up with her ex boyfriend over coffee. I am sure that nothing shady will go on between them.
The day that my son was born.,The day my son was born was one of the best days of my life.
I have to go to a doctor's appointment on Monday.  Hospitals make me so nervous.,I have to go to a doctor's appointment on Monday.
I can't believe how pretty my best friend's new girlfriend is. I look better than him but he always gets the pretty girls. Wish I had as much game as him.,My best friend got such a pretty girlfriend. I don't know how he does it. I look better than him but he gets the pretty girls.
My 3 yr old daughter was a very vocal child.  She told the cashier at the grocery store_comma_ who was a man_comma_ that boys don't wear earrings when she saw his earring.,I don't know if you have experience with small children_comma_ but when my daughter was 3 years old_comma_ she spoke her mind all the time.
I am ready for the new pokemon game_comma_ I am super excited_comma_ it looks like an amazing game!,I am ready for the new pokemon game_comma_ I am super excited_comma_ it looks like an amazing game!
I watched this award show dog sprint through an obstacle course and it was amazing.,I saw this amazing dog on the television the other day.
I saw a little girl that looked like she was lost in the mall. I took her to one of the stores so they could call security. Her mother found her and thanked me for being so concerned.,I found a little girl that was lost wandering around the mall. I took her to one of the stores so they could call security. Her mother finally found her.
I am hoping I will get promoted at my job soon enough_comma_ that would be great,I am hoping I will get promoted at my job soon enough_comma_ that would be great
I am so happy to be alive now. I invested in bitcoin and made enough to support my family for a whole year.,I made the luckiest choice investing in bitcoin.
I am not happy with how the Eagles played yesterday_comma_ they lost to the browns of all teams,5
My mom is starting to develop dementia early. I feel like I'm losing such an important figure in my life much earlier than I should_comma_ even though she's still alive. Like_comma_ she struggles so much with daily activities and remembering who I am.,My mom is starting to develop dementia early. I feel like I'm losing such an important figure in my life much earlier than I should_comma_ even though she's still alive. Like_comma_ she struggles so much with daily activities and remembering who I am
I am not happy with how the Eagles played yesterday_comma_ it was not good,I am not happy with how the Eagles played yesterday_comma_ it was not good
I went on a roller coaster last week and it freaked me out.,I went for a ride on a roller coaster the other day and it rattled me.
Getting ready for vacation,Just bought some luggage bags.  Getting ready!
Spent the entire summer with my long distance girlfriend_comma_ and now I'm back at home for university. Kind of a bummer that now not only do I not have her company_comma_ but I have to deal with school stuff. From one extreme to the other.,Spent the entire summer with my long distance girlfriend_comma_ and now I'm back at home for university. Kind of a bummer that now not only do I not have her company_comma_ but I have to deal with school stuff. From one extreme to the other.
I am scared of how work is going to go_comma_ it is the start of our busiest period of the year,I am scared of how work is going to go_comma_ it is the start of our busiest period of the year
I recently moved to a new town and I don't know anyone.,I moved to a new area and feel isolated because i don't know anyone.
I am jealous of my coworker_comma_ he is very smart and athletic,I am jealous of my coworker_comma_ he is very smart and athletic
My cat will not stop meowing at me. he is a mad man.,My cat is buts. he meows all night long. Its getting ridiculous.
I was happy when i found my dog,I was happy when i found my dog!
Once my brother stole a pizza i made from me. He says he didn't each it even though i found him with a paper plate with fresh pizza sauce on it.,I made a pizza the other day. Let it cool off but when i came back it was gone.
The summer is almost over. I couldn't be any happier!,I have had enogh of this summer heat. Cmon autumn!
I was content getting a B on my exam.,I was content with a B on my exam.
I stole money from my son's piggy bank.  I feel so ashamed for my behavior.,I stole money from my son's piggy bank.
I am scared of this upcoming season wiht Wentz being hurt_comma_ the Eagles might be in trouble,I am scared of this upcoming season wiht Wentz being hurt_comma_ the Eagles might be in trouble
My classmates at university are so gossip-y. They get so catty with one another_comma_ and spread rumors behind each other's backs. We're in a small major_comma_ so everyone knows everyone in this group of 50 students_comma_ and a lot of them dislike each other for no good reason.,My classmates at university are so gossip-y. They get so catty with one another_comma_ and spread rumors behind each other's backs. We're in a small major_comma_ so everyone knows everyone in this group of 50 students_comma_ and a lot of them dislike each other for no good reason
